mse_without_b |4630.094366161588
5|224432.22255018
6|386263.2995782143
7|430083.74584547826
8|108202.01069208914
9|912947.4011706248
10|949011.542684391
11|37901.48710460319
12|176799.12094117314
13|88479547.01699221
14|1202610.0052988266
15|660284.8169435845
16|59377.183179147796
17|13554827.050974468
18|1576461.1550503178
19|54689.823437995736
20|73459.25990863507
21|652774.2576781051
22|1591216.9442943768
23|20765427.653044507
24|115765.64323671514
25|247916.96227383474
26|34423884.495631926
27|168390.1354287881
28|2336050.4332409496
29|1648008.7990738398
30|126181.55551698196
31|593787.4467156781
32|580089.9232142445
33|254938.25292988832
34|127730.65705334136
35|208958.60443382006
36|53100.91112667363
37|589054.9151424752
38|375501.5457036482
39|28603746.098530892
40|94610.47454431077
41|236100.61250577134
42|214883.39593258008
43|197587.04068708204
44|564917.1641448162
45|91432.73393373807
46|107994.78785079777
47|137443.92875831638
48|43904568.85576498
49|95278.22195756157
50|187301.18801969575
51|1533647.5057230568
52|47502.01871537864
53|412194.28261953924
54|6079168.996406498
55|301784087.09984076
56|29905.581813745193
57|128203018.69197442
58|11207200.39399297
59|115299.69297874029
60|150248.00010937583
61|3411641.401514914
62|593677.6889835711
63|135026.9428935897
64|117558.09234191178
65|319783.63491525856
66|124685.28192979629
67|336000.8143631397
68|130219.77963998476
69|276140.39249498816
70|121532.73560523857
71|236472.19235497917
72|750361.0903385689
73|3496199.2628661445
74|199578.12355789094
75|348564.3192670508
76|119261.10417063867
77|1885952.4008566942
78|304524.0096312202
79|30754671.57567196
80|28313.79049193749
81|545813.8373220566
82|98287.14119429735
83|1058467.1193415367
84|123135.0577022977
85|28064.21177958923
86|88635.43535294337
87|962097.6905467387
88|46608.87350288294
89|64954.386034187526
