False|1|1.0|0.9596662030598053
False|1|0.5|0.9485396383866481
False|1|0.1|0.9151599443671766
False|1|0.05|0.8734353268428373
False|1|0.01|0.4200278164116829
True|20|0.5|0.9582753824756607
True|20|0.05|0.8636995827538247
True|20|0.01|0.42141863699582754
True|20|0.1|0.9262865090403338
True|20|1.0|0.96105702364395
True|50|0.5|0.9582753824756607
True|50|0.05|0.8831710709318498
True|50|0.01|0.41168289290681503
True|50|0.1|0.9290681502086231
True|50|1.0|0.9596662030598053
True|100|0.5|0.9568845618915159
True|100|0.05|0.8789986091794159
True|100|0.01|0.41307371349095967
True|100|0.1|0.9276773296244785
True|100|1.0|0.9624478442280946
