x,y
5,0.556747191011236
6,0.5660056179775281
7,0.5787359550561798
8,0.5744662921348316
9,0.583320224719101
10,0.5894550561797753
11,0.5919775280898876
12,0.5933876404494381
13,0.594432584269663
14,0.5954157303370786
15,0.5980674157303372
16,0.6008146067415732
17,0.6001011235955056
18,0.5992078651685394
19,0.6029101123595507
20,0.6039662921348316
21,0.601185393258427
22,0.6044887640449439
23,0.6046011235955057
24,0.6060561797752809
25,0.6045168539325843
26,0.6070505617977529
27,0.6057977528089888
28,0.604747191011236
29,0.6070505617977529
30,0.6058651685393259
31,0.607747191011236
32,0.6065
33,0.6065393258426967
34,0.6078988764044944
35,0.6080449438202248
36,0.6085168539325844
37,0.6087359550561797
38,0.6073988764044944
39,0.6094606741573034
40,0.6083932584269663
41,0.6089662921348316
42,0.6086741573033708
43,0.6080674157303372
44,0.6101404494382023
45,0.6093033707865169
46,0.6082303370786517
47,0.610314606741573
48,0.6095449438202247
49,0.6091292134831461
50,0.6098651685393258
51,0.609561797752809
52,0.6101404494382023
53,0.6108932584269664
54,0.6107247191011237
55,0.6104494382022472
56,0.6103258426966293
57,0.6098370786516853
58,0.6100449438202248
59,0.6099494382022472
60,0.6102022471910112
61,0.6104269662921348
62,0.6105056179775281
63,0.6109438202247192
64,0.6103314606741573
65,0.6111292134831461
66,0.6101629213483146
67,0.6100786516853932
68,0.6117415730337078
69,0.6098483146067416
70,0.6109719101123596
71,0.6104831460674157
72,0.6110168539325843
73,0.6100561797752809
74,0.6118539325842697
75,0.6106516853932585
76,0.6107696629213484
77,0.6111460674157303
78,0.6110955056179777
79,0.6108314606741573
80,0.611438202247191
81,0.6106741573033708
82,0.6120056179775282
83,0.6112921348314607
84,0.6107977528089887
85,0.6112078651685394
86,0.6114775280898876
