x,y
2,-1.2850820336526936
3,-0.46679430100385466
4,-0.220139523253589
5,-0.1361964712114983
6,-0.09200083669746717
7,-0.0627733830073996
8,-0.048320868088610885
9,-0.035516137136326675
10,-0.028560353363048296
11,-0.023684902413528025
12,-0.01872330306958281
13,-0.015959143107763696
14,-0.014627839502408868
15,-0.01097818416679458
16,-0.010369038256526492
17,-0.008433025377858103
18,-0.007874822578370286
19,-0.006859863547053521
20,-0.006524662233804893
21,-0.005474909561291458
22,-0.004927066036606018
23,-0.0038989731707533976
24,-0.004250278864623452
25,-0.003328522826561847
26,-0.0031708097874565966
27,-0.0031330292456121928
28,-0.002673849577954024
29,-0.0019982916083497587
30,-0.002313820685215101
31,-0.0021281399265003637
32,-0.0015032781899862735
33,-0.001536644590677913
34,-0.0015709169582300009
35,-0.0018339617087951565
36,-0.0012875995970632464
37,-0.001522562979946289
38,-0.0010535532509449164
39,-0.0007267189703307822
40,-0.00080111087138348
41,-0.0007719393204072625
42,-0.0008601495157068498
43,-0.0008716743313407424
44,-0.000963788589384687
45,-0.0008132793773509145
46,-0.0005821046848556236
47,-0.000753933341548288
48,-0.0005622224165525436
49,-0.0005277423583513047
