x,y
2,-0.486277301211139
3,-0.0675305131233544
4,-0.006020771268550162
5,0.007522469430399692
6,0.009108007466669385
7,0.009478777562089105
8,0.008688336234555692
9,0.0072849333707332535
10,0.006457642723014918
11,0.005801660348701318
12,0.0052761953983511585
13,0.004928202953617202
14,0.003974335912537543
15,0.003811172857148642
16,0.003388016053569108
17,0.002947840537319657
18,0.002713518294409055
19,0.0024458044738424056
20,0.002253534132601034
21,0.0020521120803986583
22,0.0017897347948447606
23,0.001711360290273625
24,0.0015864809213918742
25,0.00151880054671256
26,0.0013888539833047005
27,0.001323508616568705
28,0.0012922979622365834
29,0.001113179277863116
30,0.0011128707537547784
31,0.0010410061979316525
32,0.0010004419980308502
33,0.0009178780319529939
34,0.0008600208252639661
35,0.0008164358536336348
36,0.0008077242507175328
37,0.0007348940400880143
38,0.0006728507492036954
39,0.0006379655815810356
40,0.0006429785290915692
41,0.0006043192557991931
42,0.0005720464910775871
43,0.0005459129003921347
44,0.0004804620122619721
45,0.00048395678164309586
46,0.0004826482816508359
47,0.0004736013235690233
48,0.0004289452261712548
49,0.00043787321178746547
